name,time,fileCode,fileName,description,keywords
2024-04-18_14-45-12 via mangue,2024/04/18 17:45:16+00,"047",2024-04-18_14-45-12_via_mangue_2024-04-18_14-45-12.gpx,CV013,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-18_15-04-25 ciclofaixa beira rio (entre a via mangue e o riomar),2024/04/18 18:04:27+00,"048",2024-04-18_15-04-25_ciclofaixa_beira_rio_(entre_a_via_mangue_e_o_riomar)_2024-04-18_15-04-25.gpx,CF014,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-18_15-20-35 ciclovia riomar,2024/04/18 18:20:38+00,"049",2024-04-18_15-20-35_ciclovia_riomar_2024-04-18_15-20-35.gpx,CV006,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-18_17-53-33,2024/04/18 20:53:42+00,"050",2024-04-18_17-53-33_2024-04-18_17-53-33.gpx,CF061,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-20_15-19-26,2024/04/20 18:19:31+00,"051",2024-04-20_15-19-26_2024-04-20_15-19-26.gpx,CF025,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-20_16-08-37,2024/04/20 19:08:41+00,"052",2024-04-20_16-08-37_2024-04-20_16-08-37.gpx,CR044,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-21_14-42-29,2024/04/21 17:42:35+00,"053",2024-04-21_14-42-29_2024-04-21_14-42-29.gpx,CR060,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-21_14-58-15,2024/04/21 17:58:21+00,"054",2024-04-21_14-58-15_2024-04-21_14-58-15.gpx,CF060,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-21_15-35-25,2024/04/21 18:35:31+00,"055",2024-04-21_15-35-25_2024-04-21_15-35-25.gpx,CF060,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-21_16-11-50,2024/04/21 19:11:55+00,"056",2024-04-21_16-11-50_2024-04-21_16-11-50.gpx,CF060,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-21_16-49-06,2024/04/21 19:49:09+00,"057",2024-04-21_16-49-06_2024-04-21_16-49-06.gpx,CF041,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-21_17-13-33,2024/04/21 20:13:38+00,"058",2024-04-21_17-13-33_2024-04-21_17-13-33.gpx,CF041,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-21_17-29-53,2024/04/21 20:29:58+00,"059",2024-04-21_17-29-53_2024-04-21_17-29-53.gpx,CF041,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-21_17-59-31,2024/04/21 20:59:36+00,"060",2024-04-21_17-59-31_2024-04-21_17-59-31.gpx,CF041,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-21_18-13-45,2024/04/21 21:13:48+00,"061",2024-04-21_18-13-45_2024-04-21_18-13-45.gpx,CF041,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-21_18-48-52,2024/04/21 21:48:58+00,"062",2024-04-21_18-48-52_2024-04-21_18-48-52.gpx,CF025,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-22_16-27-27,2024/04/22 19:27:33+00,"063",2024-04-22_16-27-27_2024-04-22_16-27-27.gpx,CF061,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-22_16-40-25,2024/04/22 19:40:31+00,"064",2024-04-22_16-40-25_2024-04-22_16-40-25.gpx,CF061,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-22_17-03-23,2024/04/22 20:03:27+00,"065",2024-04-22_17-03-23_2024-04-22_17-03-23.gpx,CF054,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_08-38-22 Ciclorota Rota Setúbal 1 etapa,2024/04/24 11:38:26+00,"066",2024-04-24_08-38-22_Ciclorota_Rota_Setúbal_1_etapa_2024-04-24_08-38-22.gpx,CR019,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_08-38-40 ciclorrota setubal 1 etapa,2024/04/24 11:38:45+00,"067",2024-04-24_08-38-40_ciclorrota_setubal_1_etapa_2024-04-24_08-38-40.gpx,CR019,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_09-55-48 Ciclofaixa rota Setúbal 1 etapa,2024/04/24 12:55:49+00,"068",2024-04-24_09-55-48_Ciclofaixa_rota_Setúbal_1_etapa_2024-04-24_09-55-48.gpx,CF019,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
2024-04-24_09-55-53 ciclofaixa av mal juarez tavora,2024/04/24 12:55:56+00,"069",2024-04-24_09-55-53_ciclofaixa_av_mal_juarez_tavora_2024-04-24_09-55-53.gpx,CF019,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
"2024-04-24_10-22-04 ciclofaixa rua cosmorama, rua mal juarez tavora e rua armindo moura",2024/04/24 13:22:07+00,"070","2024-04-24_10-22-04_ciclofaixa_rua_cosmorama,_rua_mal_juarez_tavora_e_rua_armindo_moura_2024-04-24_10-22-04.gpx",CF019,"[ ""auditoria cicloviaria"", ""osmtracker"" ]"
