code,scode,fileName,fileToMerge
110,000,2024-05-01_08-46-22_2024-05-01_08-46-22.gpx,
111,000,2024-05-01_09-27-46_2024-05-01_09-27-46.gpx,
112,000,2024-05-01_10-01-51_2024-05-01_10-01-51.gpx,
113,000,2024-05-01_10-08-49_2024-05-01_10-08-49.gpx,
114,000,2024-05-01_10-30-51_2024-05-01_10-30-51.gpx,
115,000,2024-05-02_18-14-35_2024-05-02_18-14-35.gpx,
116,000,2024-05-02_18-44-02_2024-05-02_18-44-02.gpx,
118,119,2024-05-03_07-37-40_Ciclorrota_Dom_Helder_camara_2024-05-03_07-37-40.gpx,2024-05-03_07-38-06_ciclorrota_dom_helder_camara_2024-05-03_07-38-06.gpx
120,121,2024-05-03_08-04-50_Ciclofaixa_Dom_Helder_camara_2024-05-03_08-04-50.gpx,2024-05-03_08-04-51_ciclofaixa_dom_helder_camara_2024-05-03_08-04-51.gpx
122,123,2024-05-03_08-36-29_ciclorrota_dom_helder_camara_2024-05-03_08-36-29.gpx,2024-05-03_08-36-43_CICLORROTA_DOM_Helder_camara_2024-05-03_08-36-43.gpx
124,125,2024-05-03_08-46-29_ciclofaixa_dom_helder_camara_2024-05-03_08-46-29.gpx,2024-05-03_08-46-37_Ciclofaixa_DOM_HELDER_CAMARA_2024-05-03_08-46-37.gpx
126,127,2024-05-03_08-53-12CICLOFAIXA_DOM_HELDER_CAMARA_2024-05-03_08-53-12.gpx,2024-05-03_08-54-09_ciclofaixa_dom_helder_camara_2024-05-03_08-54-09.gpx
128,129,2024-05-03_09-03-54_area_compartilhada_dom_helder_camara_2024-05-03_09-03-54.gpx,2024-05-03_09-11-25_ciclovia_dom_helder_camara_2024-05-03_09-11-25.gpx
130,131,2024-05-03_09-17-17_CICLOFAIXA_AV_DOM_HELDER_CAMARA_2024-05-03_09-17-17.gpx,2024-05-03_09-20-27_ciclofaixa_dom_helder_camara_2024-05-03_09-20-27.gpx
132,133,2024-05-03_09-54-37_CICLOVIA_IBURA_2024-05-03_09-54-37.gpx,2024-05-03_09-55-00_ciclovia_ibura_2024-05-03_09-55-00.gpx
134,135,2024-05-03_10-25-04_CICLOFAIXA_JULIO_CESAR_2024-05-03_10-25-04.gpx,2024-05-03_10-25-13_ciclofaixa_julio_cesar_2024-05-03_10-25-13.gpx
136,138,2024-05-03_17-57-49_2024-05-03_17-57-49.gpx,2024-05-03_18-40-02_2024-05-03_18-40-02.gpx
