id,name,type,code,scode,seg_length,full_id,osm_id,osm_type,highway
way/763179814,Rua Marechal Hermes,Ciclorrota,318,0,82,w161795937,161795937,way,residential
way/763179814,Rua Marechal Hermes,Ciclorrota,318,0,82,w161797651,161797651,way,residential
way/763179814,Rua Marechal Hermes,Ciclorrota,318,0,82,w763179814,763179814,way,residential
way/763417898,Avenida Armindo Moura,Ciclofaixa,70,0,269,w151563554,151563554,way,residential
way/763417898,Avenida Armindo Moura,Ciclofaixa,70,0,269,w322313267,322313267,way,residential
way/763417898,Avenida Armindo Moura,Ciclofaixa,70,0,269,w138285433,138285433,way,primary
way/764025311,Rua Visconde de Jequitinhonha,Ciclofaixa,83,84,409,w85378260,85378260,way,residential
way/764025311,Rua Visconde de Jequitinhonha,Ciclofaixa,83,84,409,w161176863,161176863,way,residential
way/764026176,Rua Pedro Afonso,Ciclofaixa,281,0,138,w132055217,132055217,way,residential
way/764026176,Rua Pedro Afonso,Ciclofaixa,281,0,138,w243358112,243358112,way,residential
way/764026176,Rua Pedro Afonso,Ciclofaixa,281,0,138,w582585081,582585081,way,residential
way/764026176,Rua Pedro Afonso,Ciclofaixa,281,0,138,w762962429,762962429,way,residential
way/764026176,Rua Pedro Afonso,Ciclofaixa,281,0,138,w762962430,762962430,way,residential
way/764026176,Rua Pedro Afonso,Ciclofaixa,281,0,138,w763179812,763179812,way,residential
way/764026176,Rua Pedro Afonso,Ciclofaixa,281,0,138,w764026175,764026175,way,residential
way/764026177,Avenida Governador Agamenon Magalhães,Ciclofaixa,256,0,59,w128164046,128164046,way,residential
way/764026177,Avenida Governador Agamenon Magalhães,Ciclofaixa,256,0,59,w133438804,133438804,way,residential
way/764026177,Avenida Governador Agamenon Magalhães,Ciclofaixa,256,0,59,w133438945,133438945,way,residential
way/764026950,Avenida Vinte de Janeiro,Ciclorrota,66,67,379,w141868061,141868061,way,residential
way/764026950,Avenida Vinte de Janeiro,Ciclorrota,66,67,379,w141871671,141871671,way,residential
way/764026950,Avenida Vinte de Janeiro,Ciclorrota,66,67,379,w141873584,141873584,way,residential
